title,property_size,house_type,bedrooms,bathrooms,furnishing,region,region_name,region_parent_name,is_boost,price
15bdrm Block of Flats in Alagbado Lagos State for sale,648.0,Block of Flats,15.0,17.0,semi-furnished,"Ifako-Ijaiye, Alagbado",Alagbado,Ifako-Ijaiye,False,"₦ 150,000,000"
"3bdrm Bungalow in Ibeju Lekki Aiyetoro, Aiyeteju for sale",350.0,Bungalow,3.0,3.0,semi-furnished,"Ibeju, Aiyeteju",Aiyeteju,Ibeju,enterprise,"₦ 90,000,000"
5bdrm Duplex in Opebi for sale,300.0,Duplex,5.0,5.0,semi-furnished,"Ikeja, Opebi",Opebi,Ikeja,enterprise,"₦ 700,000,000"
1bdrm Block of Flats in Rind Road for sale,600.0,Block of Flats,1.0,1.0,unfurnished,"Ibadan, Rind Road",Rind Road,Ibadan,enterprise,"₦ 60,000,000"
"3bdrm Block of Flats in Balofem Properties &, Obafemi-Owode for sale",300.0,Block of Flats,3.0,3.0,unfurnished,"Ogun State, Obafemi-Owode",Obafemi-Owode,Ogun State,diamond,"₦ 35,000,000"
"5bdrm Duplex in Police Service, Idu for sale",1200.0,Duplex,5.0,5.0,unfurnished,"Jiwa, Idu",Idu,Jiwa,enterprise,"₦ 120,000,000"
5bdrm Duplex in Guzape for sale,1000.0,Duplex,5.0,5.0,semi-furnished,"Abuja (FCT), Guzape District",Guzape District,Abuja (FCT),enterprise,"₦ 750,000,000"
Furnished 4bdrm Duplex in Abiola Farm Estate for sale,400.0,Duplex,4.0,5.0,furnished,"Ipaja, Ayobo",Ayobo,Ipaja,False,"₦ 185,000,000"
4bdrm Duplex in Yaba for sale,210.0,Duplex,4.0,4.0,semi-furnished,"Yaba, Sabo / Yaba",Sabo / Yaba,Yaba,enterprise,"₦ 290,000,000"
3bdrm Apartment in Off Toyin for sale,650.0,Apartment,3.0,3.0,semi-furnished,"Ikeja, Toyin Street",Toyin Street,Ikeja,enterprise,"₦ 210,000,000"
3bdrm Block of Flats in Omole Phase 2 for sale,428.0,Block of Flats,3.0,3.0,semi-furnished,"Ikeja, Omole Phase 2",Omole Phase 2,Ikeja,enterprise,"₦ 500,000,000"
"10bdrm Block of Flats in Balofem Properties &, Abeokuta South for sale",648.0,Block of Flats,10.0,10.0,semi-furnished,"Ogun State, Abeokuta South",Abeokuta South,Ogun State,diamond,"₦ 80,000,000"
5bdrm Duplex in Ikeja Gra for sale,220.0,Duplex,5.0,5.0,semi-furnished,"Ikeja, Ikeja GRA",Ikeja GRA,Ikeja,enterprise,"₦ 950,000,000"
"Furnished 6bdrm House in Balofem Properties &, Abeokuta South for sale",150.0,House,6.0,6.0,furnished,"Ogun State, Abeokuta South",Abeokuta South,Ogun State,diamond,"₦ 50,000,000"
"Furnished 4bdrm House in Balofem Properties &, Abeokuta South for sale",1000.0,House,4.0,5.0,furnished,"Ogun State, Abeokuta South",Abeokuta South,Ogun State,diamond,"₦ 120,000,000"
4bdrm Duplex in Opebi for sale,225.0,Duplex,4.0,4.0,semi-furnished,"Ikeja, Opebi",Opebi,Ikeja,enterprise,"₦ 450,000,000"
"Furnished 18bdrm Block of Flats in Balofem Properties &, Abeokuta South",700.0,Block of Flats,18.0,12.0,furnished,"Ogun State, Abeokuta South",Abeokuta South,Ogun State,diamond,"₦ 70,000,000"
"Furnished 6bdrm Block of Flats in Balofem Properties &, Abeokuta South",200.0,Block of Flats,6.0,6.0,furnished,"Ogun State, Abeokuta South",Abeokuta South,Ogun State,diamond,"₦ 50,000,000"
"Furnished 5bdrm Duplex in Balofem Properties &, Abeokuta South for sale",1000.0,Duplex,5.0,5.0,furnished,"Ogun State, Abeokuta South",Abeokuta South,Ogun State,diamond,"₦ 150,000,000"
3bdrm Duplex in Gbagada Phase1 for sale,225.0,Duplex,3.0,3.0,semi-furnished,"Gbagada, Phase 1 / Gbagada",Phase 1 / Gbagada,Gbagada,enterprise,"₦ 400,000,000"
