title,property_size(sqm),house_type,bedrooms,bathrooms,furnishing,region,region_name,region_parent_name,is_boost,price
"3bdrm Block of Flats in Daylight Property, Benin City for sale",465,Block of Flats,3,3,Unfurnished,"Edo State, Benin City",Benin City,Edo State,Diamond,13000000.0
"4bdrm Duplex in Hrc, Ajah for sale",600,Duplex,4,4,Semi-Furnished,"Lagos State, Ajah",Ajah,Lagos Island,False,140000000.0
2bdrm Apartment in Katampe (Main) for sale,220,Apartment,2,2,Unfurnished,"Katampe, Katampe (Main)",Katampe (Main),Abuja (FCT),Diamond,90000000.0
"3bdrm Duplex in Sherwood Court, Sangotedo for sale",250,Duplex,3,3,Unfurnished,"Ajah, Sangotedo",Sangotedo,Lagos Island,Enterprise,150000000.0
5bdrm Duplex in Lekki for sale,500,Duplex,5,5,Unfurnished,"Lagos State, Lekki",Lekki,Lagos Island,Enterprise,420000000.0
2bdrm Maisonette in Ogudu for sale,1000,Maisonette,2,2,Unfurnished,"Lagos State, Ogudu",Ogudu,Lagos Mainland,Enterprise,100000000.0
2bdrm Apartment in Ikate for sale,500,Apartment,2,2,Unfurnished,"Lekki, Ikate",Ikate,Lagos Island,Enterprise,220000000.0
4bdrm Duplex in Ikota for sale,500,Duplex,4,4,Unfurnished,"Lekki, Ikota",Ikota,Lagos Island,Enterprise,220000000.0
3bdrm Duplex in Omole Phase 2 for sale,350,Duplex,3,3,Unfurnished,"Ikeja, Omole Phase 2",Omole Phase 2,Lagos Mainland,Enterprise,300000000.0
4bdrm Duplex in Ologolo for sale,350,Duplex,4,4,Unfurnished,"Lekki, Ologolo",Ologolo,Lagos Island,Enterprise,250000000.0
3bdrm Apartment in Ikate for sale,500,Apartment,3,3,Unfurnished,"Lekki, Ikate",Ikate,Lagos Island,Enterprise,190000000.0
5bdrm Duplex in Lekki Phase 1 for sale,350,Duplex,5,5,Unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos Island,Enterprise,750000000.0
4bdrm Duplex in Ikota for sale,350,Duplex,4,4,Unfurnished,"Lekki, Ikota",Ikota,Lagos Island,Enterprise,170000000.0
5bdrm Duplex in Adeniyi Jones Ikeja for sale,150,Duplex,5,6,Semi-Furnished,"Ikeja, Adeniyi Jones",Adeniyi Jones,Lagos Mainland,Diamond,650000000.0
4bdrm Duplex in Dawaki for sale,700,Duplex,4,5,Unfurnished,"Gwarinpa, Dawaki",Dawaki,Abuja (FCT),Diamond,350000000.0
5bdrm Duplex in Lugbe District for sale,800,Duplex,5,6,Unfurnished,"Abuja (FCT), Lugbe District",Lugbe District,Abuja (FCT),Diamond,170000000.0
4bdrm Duplex in Asokoro Main for sale,1000,Duplex,4,4,Unfurnished,"Abuja (FCT), Asokoro",Asokoro,Abuja (FCT),False,850000000.0
5bdrm Duplex in GRA Phase 1 for sale,500,Duplex,5,5,Unfurnished,"Magodo, GRA Phase 1",GRA Phase 1,Lagos Mainland,Enterprise,600000000.0
5bdrm Duplex in Ikota for sale,350,Duplex,5,5,Unfurnished,"Lekki, Ikota",Ikota,Lagos Island,Enterprise,350000000.0
